"Temperatura";"Vlaga";"Vjetar";"Sunce";"O3";"NO";"NO2"
"17.1604";"91.85";"0.66056";"81.376";"26.1722";"1.36389";"4.88889"
"17.2593";"91.428";"0.315556";"63.279";"22.6556";"1.85";"6.7583"
"17.1584";"91.305";"0.308611";"57.018";"24.2639";"1.79167";"6.3083"
"17.171";"91.568";"0.5725";"35.5013";"24.0722";"1.52222";"6.1917"
"17.3444";"92.403";"0.91111";"26.3563";"20.1111";"1.64444";"7.0139"
"17.3019";"92.826";"0.71056";"21.5582";"19.1056";"2.17778";"7.6556"
"17.204";"93.452";"0.274167";"21.5582";"18.7778";"3.00556";"6.2667"
"17.2246";"94.538";"0.434444";"30.8507";"18.9778";"2.27778";"6.3444"
"17.2246";"95.039";"0.396389";"70.124";"20.3333";"2.04722";"5.7944"
"17.225";"94.579";"0.443611";"101.745";"22.5556";"1.95833";"5.8139"
"17.1986";"94.489";"0.50139";"147.498";"19.3944";"2.36111";"6.25"
"17.3503";"93.642";"0.51972";"120.382";"18.9722";"3.40833";"6.5583"
"17.4657";"92.217";"0.376944";"125.067";"18.725";"4.25833";"9.2917"
"17.5516";"90.87";"0.75889";"161.517";"19.7917";"3.4";"8.5528"
"17.7203";"89.673";"0.335278";"262.064";"22.5389";"4.72222";"8.1389"
"18.0586";"88.094";"0.72806";"332.129";"20.5944";"5.0167";"8.6111"
"18.3299";"86.019";"0.76889";"251.847";"23.9667";"5.7361";"9.0694"
"18.5299";"84.249";"0.72333";"217.216";"24.7333";"5.5861";"9.5083"
"18.5007";"84.179";"0.64083";"162.854";"25.5444";"4.48889";"9.1028"
"18.4362";"85.319";"0.460556";"129.342";"25.0167";"3.90833";"8.7889"
"18.3743";"86.109";"0.245278";"115.204";"23.1528";"3.59167";"9.1333"
"18.4093";"86.496";"0.474167";"155.213";"20.8167";"4.11667";"10.3972"
"18.3663";"85.826";"0.400833";"234.635";"21.6945";"5.4611";"9.7194"
"18.5467";"85.45";"0.452778";"408.474";"20.8472";"7.0194";"9.7583"
"18.9475";"84.228";"0.318056";"339.373";"20.3";"6.7111";"9.9417"
"18.8132";"84.153";"0.4175";"279.136";"21.6417";"6.3278";"9.5694"
"18.7758";"84.888";"0.55806";"408.214";"23.2472";"5.7139";"8.9944"
"19.0909";"83.858";"0.54944";"415.799";"24.2417";"5.3056";"8.5028"
"19.2797";"82.158";"0.97611";"293.006";"26.0528";"4.95833";"8.5"
"19.071";"82.585";"1.91556";"199.67";"26.6667";"5.3722";"9.7889"
"18.6426";"85.449";"2.18139";"192.682";"28.5861";"13.4694";"11.7194"
"18.5304";"85.775";"0.82889";"277.938";"25.3639";"26.6694";"19.9167"
"18.8283";"85.052";"0.63528";"361.762";"23.5667";"22.2306";"19.8472"
"18.9028";"82.756";"1.31722";"256.367";"27.5556";"24.6667";"19.4333"
"19.0169";"82.279";"0.80639";"488.757";"33.2778";"13.4917";"12.6278"
"19.3661";"80.353";"0.60333";"256.853";"36.95";"2.63611";"5.6889"
"19.3435";"79.796";"1.10778";"151.326";"38.8278";"2.21389";"5.0306"
"19.3785";"79.269";"0.86389";"234.944";"42.1972";"1.33611";"4.35556"
"19.5469";"79.944";"0.59583";"253.038";"41.3528";"1.18889";"5.15"
"19.6756";"79.193";"0.484167";"239.816";"39.1472";"1.90278";"4.80278"
"19.6452";"78.517";"0.296667";"213.865";"37.05";"2.46667";"6.7556"
"19.6306";"77.622";"0.092778";"186.545";"38.4833";"2.4";"6.4861"
"19.5994";"77.306";"0.360833";"159.952";"39.0889";"1.89722";"6.1917"
"19.6502";"78.178";"0.481944";"159.792";"36.0945";"2.26389";"7.1583"
"19.6443";"78.295";"0.57167";"176.695";"38.1417";"3.1";"7.0222"
"19.8251";"78.17";"0.483611";"178.414";"30.8083";"3.37778";"7.7861"
"20.0195";"77.915";"0.318056";"230.807";"30.8806";"1.61944";"6.225"
"20.178";"76.735";"0.58913";"439.243";"32.6455";"3.50909";"4.01818"
"20.3056";"75.571";"0.466944";"958.77";"33.4639";"5.7";"8.45"
"20.6686";"74.208";"0.7125";"532.37";"35.5472";"3.11944";"4.83889"
"20.6899";"74.533";"0.72222";"213.798";"33.4361";"2.93333";"6.2472"
"20.9403";"73.748";"0.53694";"145.946";"33.4806";"1.91667";"6.5056"
"21.0831";"74.318";"0.469722";"81.476";"33.6583";"2.87222";"6.2806"
"20.9421";"75.549";"0.454167";"75.041";"34.2194";"1.30556";"5.0778"
"20.5851";"77.95";"0.72944";"113.012";"32.4722";"1.46944";"5.6167"
"20.3709";"79.248";"0.426111";"174.998";"25.6806";"3.23889";"8.8444"
"20.5224";"80.261";"0.71583";"558.71";"22.3361";"4.55";"10.5056"
"21.0892";"77.85";"0.5325";"1120.24";"26.1583";"7.7028";"8.4083"
"21.7131";"72.304";"0.215833";"1138.54";"31.6583";"6.8333";"7.7806"
"22.0256";"71.083";"0.82639";"461.098";"30.9694";"6.2111";"8.5222"
"22.097";"70.877";"0.93889";"614.88";"28.9861";"5.7194";"10.5944"
"22.1773";"68.621";"1.875";"752.04";"34.3694";"5.0861";"9.0778"
"22.2448";"68.835";"1.64028";"377.281";"35.0639";"4.00556";"8.5611"
"21.9996";"69.878";"1.66028";"263.819";"36.3167";"4.18056";"7.4778"
"21.5911";"71.605";"1.23028";"223.414";"35.2194";"1.38611";"9.4889"
"21.4555";"70.89";"1.86639";"198.6";"39.2028";"2.48889";"6.7889"
"21.4742";"71.364";"1.46389";"429.399";"40.6028";"1.82222";"5.8583"
"21.6762";"69.733";"1.20528";"652.5";"41.6";"3.00556";"4.97778"
"22.072";"68.312";"2.17639";"728.81";"41.3528";"3.39167";"6.1694"
"22.1372";"66.419";"1.67083";"500.8";"46.0333";"2.25833";"5.1139"
"22.0601";"67.041";"2.14333";"232.858";"45.0167";"2.14167";"5.6194"
"22.0527";"64.56";"2.3125";"197.161";"48.7833";"1.74722";"3.61667"
"22.0862";"63.702";"2.59028";"161.951";"49.2167";"1.73889";"3.54444"
"22.0946";"62.214";"3.30639";"180.499";"49.6167";"1.01667";"3.84722"
"22.0469";"60.361";"2.56056";"204.336";"51.967";"2.12778";"1.74722"
"22.1632";"60.755";"2.08694";"345.766";"50.019";"1.03889";"3.04444"
"22.4021";"59.837";"1.74833";"469.681";"50.717";"1.30556";"3.08056"
"22.4983";"58.12";"1.87917";"426.97";"51.217";"1.65833";"2.62778"
"22.8557";"58.072";"1.96306";"914.07";"50.561";"1.31111";"3.21667"
"23.4525";"55.972";"1.96361";"1253.4";"47.6944";"2.66667";"4.775"
"23.9774";"52.411";"3.36583";"1476.61";"53.517";"0.66389";"2.16389"
"24.2394";"50.849";"2.92028";"1092.91";"55.175";"1.20833";"2.21944"
"24.4015";"51.026";"2.38";"747.51";"55.106";"1.11389";"1.17222"
"24.0334";"52.222";"3.83972";"384.599";"54.061";"2.15556";"1.50833"
"23.0699";"53.378";"3.30528";"319.575";"56.664";"1.65278";"0.75833"
"22.8238";"54.427";"3.91083";"395.224";"55.283";"1.54444";"1.79167"
"22.7439";"54.026";"3.44306";"360.92";"55.661";"0.169444";"2.07778"
"22.6968";"53.744";"3.04611";"375.556";"57.367";"0.90278";"1.78056"
"22.7726";"53.742";"3.59417";"509.09";"57.008";"0.95278";"1.70278"
"22.8928";"54.107";"2.74722";"531.95";"56.183";"1.61667";"1.96111"
"22.8841";"54.859";"3.13083";"263.142";"55.725";"1.61389";"2.02222"
"22.7658";"55.268";"3.32167";"187.884";"57.167";"1.13889";"1.525"
"22.6404";"56.49";"2.29028";"123.079";"54.817";"0.80833";"2.42222"
"22.5182";"57.288";"3.10694";"98.097";"54.383";"0.98333";"2.725"
"22.5048";"57.905";"2.98722";"95.553";"56.286";"1.70556";"1.99444"
"22.117";"61.477";"2.13472";"89.978";"55.558";"0.85278";"2.05556"
"21.7333";"66.055";"1.81889";"130.519";"51.078";"1.49722";"4.48055"
"21.4807";"68.991";"1.0025";"252.945";"51.356";"1.46667";"2.83889"
"21.4931";"72.707";"1.47278";"295.141";"44.1028";"2.63611";"5.6472"
"21.5495";"68.65";"3.45778";"671.42";"50.517";"2.08056";"3.41389"
"22.1992";"62.339";"2.50333";"1080.25";"54.094";"1.93889";"2.86667"
"23.1124";"58.057";"2.30861";"736.97";"54.986";"2.3";"2.625"
"23.4527";"55.706";"2.4075";"1095.17";"55.794";"0.99722";"2.49167"
"23.9073";"53.884";"2.67583";"1537.99";"57.519";"1.10556";"1.58333"
"24.582";"52.745";"3.33639";"995.34";"57.169";"1.33889";"1.76389"
"24.0543";"52.173";"3.25306";"860.52";"58.486";"1.01944";"1.94167"
"23.8275";"53.758";"2.90917";"547.66";"55.986";"1.30556";"2.68333"
"23.8247";"53.171";"3.01556";"1193.91";"58.333";"0.92778";"1.89444"
"24.2904";"51.218";"2.3025";"1443.17";"57.858";"1.18889";"1.51667"
"24.6764";"50.469";"2.04139";"1410.73";"57.583";"1.49444";"1.73056"
"24.8687";"50.234";"2.39028";"1053.41";"57.775";"1.60278";"1.45278"
"24.5862";"50.84";"2.81861";"351.875";"58.356";"1.41389";"1.09722"
"24.1467";"52.161";"2.63833";"271.81";"57.219";"1.53056";"1.75278"
"23.5983";"53.975";"2.28944";"219.186";"57.094";"1.56111";"2.13611"
"23.5122";"55.866";"2.32667";"209.935";"59.025";"0.394444";"1.80556"
"23.1013";"57.271";"1.65944";"243.624";"55.089";"2.03056";"2.76389"
"23.0304";"56.895";"1.99806";"587.51";"55.433";"2.16389";"3.88611"
"23.5341";"55.539";"3.33056";"899.78";"58.339";"2.01667";"1.52778"
"23.8064";"54.495";"2.89278";"553.1";"58.589";"1.275";"2.14167"
"23.8856";"53.982";"3.00972";"931.11";"57.994";"1.45833";"2.76944"
"24.2598";"53.467";"2.71861";"648.68";"56.656";"1.91944";"2.43333"
"24.1189";"53.803";"1.83139";"406.196";"58.428";"1.08333";"2.01111"
"23.8947";"54.251";"2.76556";"1027.73";"58.608";"1.42222";"1.50556"
"24.3097";"53.41";"3.28194";"947.22";"59.558";"1.51111";"1.40278"
"24.6877";"52.773";"2.16083";"936.26";"58.022";"1.38889";"1.98611"
"24.5773";"51.408";"4.36611";"805.9";"57.814";"1.28056";"3.09167"
"24.3509";"51.6";"3.60694";"1307.96";"59.544";"1.27778";"1.95556"
"24.826";"50.258";"2.67667";"1176.26";"59.975";"1.34167";"1.36111"
"24.8353";"49.7845";"2.74639";"684.03";"60.228";"1.03889";"2.01944"
"24.6098";"50.183";"4.02278";"1439.7";"58.878";"1.7";"1.98333"
"24.8197";"50.37";"3.24889";"697.06";"60.306";"0.98056";"1.44444"
"24.5317";"51.238";"3.14611";"593.43";"59.172";"1.26667";"1.91111"
